fname,method,aopc
person128_bacteria_606,gradcam,0.1846
person128_bacteria_606,shap,0.3286
person128_bacteria_607,gradcam,0.1846
person128_bacteria_607,shap,0.3345
person128_bacteria_608,gradcam,0.1203
person128_bacteria_608,shap,0.3622
person130_bacteria_623,gradcam,-0.0288
person130_bacteria_623,shap,0.1074
person130_bacteria_625,gradcam,0.1192
person130_bacteria_625,shap,0.1692
person130_bacteria_626,gradcam,0.1302
person130_bacteria_626,shap,0.2086
person130_bacteria_627,gradcam,0.1319
person130_bacteria_627,shap,0.2207
person130_bacteria_628,gradcam,0.0989
person130_bacteria_628,shap,0.1986
person131_bacteria_629,gradcam,0.1869
person131_bacteria_629,shap,0.3853
person132_bacteria_632,gradcam,0.1563
person132_bacteria_632,shap,0.2142
person133_bacteria_633,gradcam,0.1376
person133_bacteria_633,shap,0.3079
person133_bacteria_634,gradcam,0.1185
person133_bacteria_634,shap,0.3178
person133_bacteria_635,gradcam,0.2267
person133_bacteria_635,shap,0.369
person133_bacteria_637,gradcam,0.1142
person133_bacteria_637,shap,0.3389
person133_bacteria_638,gradcam,0.137
person133_bacteria_638,shap,0.3349
person134_bacteria_640,gradcam,0.1706
person134_bacteria_640,shap,0.3258
person134_bacteria_641,gradcam,0.2465
person134_bacteria_641,shap,0.2824
person134_bacteria_642,gradcam,0.1359
person134_bacteria_642,shap,0.2463
person134_bacteria_643,gradcam,0.1363
person134_bacteria_643,shap,0.2207
person134_bacteria_644,gradcam,0.1363
person134_bacteria_644,shap,0.229
person135_bacteria_646,gradcam,0.1032
person135_bacteria_646,shap,0.2451
person135_bacteria_647,gradcam,0.0527
person135_bacteria_647,shap,0.2224
person136_bacteria_648,gradcam,0.058
person136_bacteria_648,shap,0.1595
person136_bacteria_649,gradcam,0.0956
person136_bacteria_649,shap,0.2444
person136_bacteria_650,gradcam,0.0854
person136_bacteria_650,shap,0.3162
person136_bacteria_652,gradcam,0.1235
person136_bacteria_652,shap,0.1696
person136_bacteria_654,gradcam,0.1374
person136_bacteria_654,shap,0.3213
person137_bacteria_655,gradcam,0.2349
person137_bacteria_655,shap,0.3606
person138_bacteria_657,gradcam,0.1091
person138_bacteria_657,shap,0.2824
person138_bacteria_658,gradcam,0.1539
person138_bacteria_658,shap,0.2786
person138_bacteria_659,gradcam,0.1573
person138_bacteria_659,shap,0.272
person139_bacteria_661,gradcam,0.2053
person139_bacteria_661,shap,0.3765
person139_bacteria_662,gradcam,0.095
person139_bacteria_662,shap,0.2475
person139_bacteria_663,gradcam,0.1153
person139_bacteria_663,shap,0.2925
person139_bacteria_664,gradcam,0.1743
person139_bacteria_664,shap,0.289
person139_bacteria_665,gradcam,0.1192
person139_bacteria_665,shap,0.2827
person139_bacteria_666,gradcam,0.1248
person139_bacteria_666,shap,0.1672
person140_bacteria_667,gradcam,0.0911
person140_bacteria_667,shap,0.2927
person140_bacteria_668,gradcam,0.0003
person140_bacteria_668,shap,0.1076
person141_bacteria_670,gradcam,0.0655
person141_bacteria_670,shap,0.1702
person141_bacteria_676,gradcam,0.1829
person141_bacteria_676,shap,0.2226
person141_bacteria_677,gradcam,0.1606
person141_bacteria_677,shap,0.2583
person141_bacteria_678,gradcam,0.1121
person141_bacteria_678,shap,0.2177
person141_bacteria_681,gradcam,0.1256
person141_bacteria_681,shap,0.1421
person142_bacteria_682,gradcam,0.0613
person142_bacteria_682,shap,0.0852
person142_bacteria_683,gradcam,0.0667
person142_bacteria_683,shap,0.1633
person142_bacteria_684,gradcam,0.0806
person142_bacteria_684,shap,0.2505
person143_bacteria_687,gradcam,0.0992
person143_bacteria_687,shap,0.3016
person143_bacteria_688,gradcam,0.2569
person143_bacteria_688,shap,0.3138
person143_bacteria_689,gradcam,0.1585
person143_bacteria_689,shap,0.3304
person144_bacteria_690,gradcam,0.0504
person144_bacteria_690,shap,0.2019
person145_bacteria_696,gradcam,0.143
person145_bacteria_696,shap,0.3481
person146_bacteria_700,gradcam,0.076
person146_bacteria_700,shap,0.1164
person146_bacteria_703,gradcam,0.0854
person146_bacteria_703,shap,0.2245
person146_bacteria_704,gradcam,0.0672
person146_bacteria_704,shap,0.1417
person147_bacteria_705,gradcam,0.1577
person147_bacteria_705,shap,0.3023
person147_bacteria_706,gradcam,0.1271
person147_bacteria_706,shap,0.2945
person147_bacteria_707,gradcam,0.1675
person147_bacteria_707,shap,0.3772
person147_bacteria_711,gradcam,0.1858
person147_bacteria_711,shap,0.2313
person149_bacteria_713,gradcam,0.1892
person149_bacteria_713,shap,0.3082
person14_virus_44,gradcam,0.2254
person14_virus_44,shap,0.2002
person150_bacteria_715,gradcam,0.1746
person150_bacteria_715,shap,0.2399
person150_bacteria_716,gradcam,0.1064
person150_bacteria_716,shap,0.2798
person150_bacteria_717,gradcam,0.0849
person150_bacteria_717,shap,0.164
person151_bacteria_718,gradcam,0.1665
person151_bacteria_718,shap,0.3049
person152_bacteria_720,gradcam,0.1803
person152_bacteria_720,shap,0.279
person152_bacteria_721,gradcam,0.0738
person152_bacteria_721,shap,0.2397
person152_bacteria_722,gradcam,0.0995
person152_bacteria_722,shap,0.1935
person152_bacteria_723,gradcam,0.0066
person152_bacteria_723,shap,0.1596
person152_bacteria_724,gradcam,0.1732
person152_bacteria_724,shap,0.3117
person153_bacteria_725,gradcam,0.1071
person153_bacteria_725,shap,0.2612
person153_bacteria_726,gradcam,0.2092
person153_bacteria_726,shap,0.3617
person154_bacteria_728,gradcam,0.1428
person154_bacteria_728,shap,0.3259
person155_bacteria_729,gradcam,0.1796
person155_bacteria_729,shap,0.2659
person155_bacteria_730,gradcam,0.1224
person155_bacteria_730,shap,0.372
person155_bacteria_731,gradcam,0.0543
person155_bacteria_731,shap,0.2368
person157_bacteria_735,gradcam,0.088
person157_bacteria_735,shap,0.1633
person157_bacteria_739,gradcam,0.0408
person157_bacteria_739,shap,0.1674
person157_bacteria_740,gradcam,0.1408
person157_bacteria_740,shap,0.1801
person158_bacteria_742,gradcam,0.1113
person158_bacteria_742,shap,0.3023
person158_bacteria_743,gradcam,0.2582
person158_bacteria_743,shap,0.4055
person158_bacteria_744,gradcam,0.1683
person158_bacteria_744,shap,0.3179
person158_bacteria_745,gradcam,0.0801
person158_bacteria_745,shap,0.1641
person159_bacteria_746,gradcam,0.1294
person159_bacteria_746,shap,0.2597
person159_bacteria_747,gradcam,0.1501
person159_bacteria_747,shap,0.3301
person15_virus_46,gradcam,0.2063
person15_virus_46,shap,0.3492
person1608_virus_2786,gradcam,0.1364
person1608_virus_2786,shap,0.2642
person1610_virus_2793,gradcam,0.2532
person1610_virus_2793,shap,0.3561
person1612_virus_2797,gradcam,0.0965
person1612_virus_2797,shap,0.2746
person1612_virus_2798,gradcam,0.0608
person1612_virus_2798,shap,0.1216
person1613_virus_2799,gradcam,0.0546
person1613_virus_2799,shap,0.2187
person1614_virus_2800,gradcam,0.0776
person1614_virus_2800,shap,0.1487
person1615_virus_2801,gradcam,0.001
person1615_virus_2801,shap,0.1548
person1616_virus_2802,gradcam,-0.0137
person1616_virus_2802,shap,0.263
person1618_virus_2805,gradcam,0.101
person1618_virus_2805,shap,0.2306
person1619_virus_2806,gradcam,0.0961
person1619_virus_2806,shap,0.1992
person161_bacteria_757,gradcam,0.0735
person161_bacteria_757,shap,0.1586
person161_bacteria_759,gradcam,0.0826
person161_bacteria_759,shap,0.2034
person161_bacteria_762,gradcam,0.1052
person161_bacteria_762,shap,0.116
person1620_virus_2807,gradcam,0.1385
person1620_virus_2807,shap,0.2533
person1622_virus_2810,gradcam,0.0268
person1622_virus_2810,shap,0.1147
person1623_virus_2813,gradcam,0.1655
person1623_virus_2813,shap,0.2949
person1625_virus_2817,gradcam,0.1509
person1625_virus_2817,shap,0.2107
person1626_virus_2818,gradcam,0.1544
person1626_virus_2818,shap,0.2107
person1627_virus_2819,gradcam,0.1049
person1627_virus_2819,shap,0.1402
person1628_virus_2821,gradcam,0.08
person1628_virus_2821,shap,0.3194
person1628_virus_2822,gradcam,-0.0024
person1628_virus_2822,shap,0.1655
person1629_virus_2823,gradcam,0.1589
person1629_virus_2823,shap,0.2053
person1631_virus_2826,gradcam,0.0329
person1631_virus_2826,shap,0.1253
person1632_virus_2827,gradcam,0.1431
person1632_virus_2827,shap,0.1432
person1633_virus_2829,gradcam,0.0578
person1633_virus_2829,shap,0.2183
person1634_virus_2830,gradcam,0.1599
person1634_virus_2830,shap,0.2964
person1635_virus_2831,gradcam,0.1167
person1635_virus_2831,shap,0.1346
person1637_virus_2834,gradcam,0.0717
person1637_virus_2834,shap,0.1448
person1640_virus_2839,gradcam,0.1407
person1640_virus_2839,shap,0.2499
person1641_virus_2840,gradcam,0.099
person1641_virus_2840,shap,0.2308
person1642_virus_2842,gradcam,0.1487
person1642_virus_2842,shap,0.1862
person1643_virus_2843,gradcam,0.143
person1643_virus_2843,shap,0.1587
person1644_virus_2844,gradcam,0.1255
person1644_virus_2844,shap,0.2181
person1645_virus_2845,gradcam,0.122
person1645_virus_2845,shap,0.2016
person1647_virus_2848,gradcam,0.1015
person1647_virus_2848,shap,0.1968
person1649_virus_2850,gradcam,0.0293
person1649_virus_2850,shap,0.1582
person1650_virus_2852,gradcam,0.1771
person1650_virus_2852,shap,0.2419
person1650_virus_2854,gradcam,0.1812
person1650_virus_2854,shap,0.2909
person1651_virus_2855,gradcam,0.0962
person1651_virus_2855,shap,0.1551
person1653_virus_2858,gradcam,0.0556
person1653_virus_2858,shap,0.2235
person1653_virus_2859,gradcam,0.0008
person1653_virus_2859,shap,0.0466
person1655_virus_2861,gradcam,0.0424
person1655_virus_2861,shap,0.1414
person1656_virus_2862,gradcam,0.1408
person1656_virus_2862,shap,0.328
person1657_virus_2864,gradcam,0.0966
person1657_virus_2864,shap,0.1889
person1659_virus_2867,gradcam,0.0911
person1659_virus_2867,shap,0.1573
person1660_virus_2869,gradcam,-0.0082
person1660_virus_2869,shap,0.0385
person1661_virus_2872,gradcam,0.1676
person1661_virus_2872,shap,0.3131
person1661_virus_2873,gradcam,0.1676
person1661_virus_2873,shap,0.3661
person1662_virus_2875,gradcam,0.1736
person1662_virus_2875,shap,0.1629
person1663_virus_2876,gradcam,0.1489
person1663_virus_2876,shap,0.2488
person1664_virus_2877,gradcam,0.0755
person1664_virus_2877,shap,0.2126
person1665_virus_2878,gradcam,0.1677
person1665_virus_2878,shap,0.2426
person1667_virus_2881,gradcam,0.1571
person1667_virus_2881,shap,0.2858
person1668_virus_2882,gradcam,0.0724
person1668_virus_2882,shap,0.1939
person1669_virus_2884,gradcam,0.0118
person1669_virus_2884,shap,0.2015
person1669_virus_2885,gradcam,0.0694
person1669_virus_2885,shap,0.2812
person1670_virus_2886,gradcam,0.0221
person1670_virus_2886,shap,0.2177
person1671_virus_2887,gradcam,0.0451
person1671_virus_2887,shap,0.1364
person1672_virus_2888,gradcam,0.1565
person1672_virus_2888,shap,0.1981
person1673_virus_2889,gradcam,0.1406
person1673_virus_2889,shap,0.276
person1674_virus_2890,gradcam,0.1636
person1674_virus_2890,shap,0.2769
person1675_virus_2891,gradcam,-0.0266
person1675_virus_2891,shap,0.0834
person1676_virus_2892,gradcam,0.1053
person1676_virus_2892,shap,0.2152
person1678_virus_2895,gradcam,0.0879
person1678_virus_2895,shap,0.2306
person1679_virus_2896,gradcam,-0.0128
person1679_virus_2896,shap,0.1477
person1680_virus_2897,gradcam,0.1134
person1680_virus_2897,shap,0.2134
person1682_virus_2899,gradcam,0.035
person1682_virus_2899,shap,0.192
person1685_virus_2903,gradcam,0.0957
person1685_virus_2903,shap,0.1367
person16_virus_47,gradcam,0.1514
person16_virus_47,shap,0.2804
person171_bacteria_826,gradcam,0.0994
person171_bacteria_826,shap,0.2682
person172_bacteria_827,gradcam,0.2223
person172_bacteria_827,shap,0.2987
person172_bacteria_828,gradcam,0.139
person172_bacteria_828,shap,0.2737
person173_bacteria_829,gradcam,0.1031
person173_bacteria_829,shap,0.2628
person173_bacteria_830,gradcam,0.1386
person173_bacteria_830,shap,0.3176
person173_bacteria_831,gradcam,0.1478
person173_bacteria_831,shap,0.374
person174_bacteria_832,gradcam,0.1618
person174_bacteria_832,shap,0.2425
person175_bacteria_833,gradcam,0.1337
person175_bacteria_833,shap,0.3691
person175_bacteria_834,gradcam,0.1361
person175_bacteria_834,shap,0.3932
person175_bacteria_835,gradcam,0.1179
person175_bacteria_835,shap,0.3387
person17_virus_48,gradcam,0.1307
person17_virus_48,shap,0.261
person18_virus_49,gradcam,0.1109
person18_virus_49,shap,0.2975
person19_virus_50,gradcam,0.1449
person19_virus_50,shap,0.2982
person1_virus_11,gradcam,0.1316
person1_virus_11,shap,0.1347
person1_virus_12,gradcam,-0.003
person1_virus_12,shap,0.1782
person1_virus_13,gradcam,0.129
person1_virus_13,shap,0.2323
person1_virus_6,gradcam,0.0908
person1_virus_6,shap,0.1645
person1_virus_7,gradcam,0.0143
person1_virus_7,shap,0.0723
person1_virus_8,gradcam,0.1396
person1_virus_8,shap,0.2569
person1_virus_9,gradcam,0.1942
person1_virus_9,shap,0.2728
person20_virus_51,gradcam,0.2201
person20_virus_51,shap,0.3122
person21_virus_52,gradcam,0.1359
person21_virus_52,shap,0.2447
person21_virus_53,gradcam,0.1623
person21_virus_53,shap,0.2763
person22_virus_54,gradcam,0.1223
person22_virus_54,shap,0.3819
person22_virus_55,gradcam,0.1345
person22_virus_55,shap,0.2199
person23_virus_56,gradcam,0.0977
person23_virus_56,shap,0.1901
person24_virus_58,gradcam,0.2435
person24_virus_58,shap,0.3507
person25_virus_59,gradcam,0.0668
person25_virus_59,shap,0.2054
person26_virus_60,gradcam,0.0789
person26_virus_60,shap,0.1241
person28_virus_62,gradcam,0.1757
person28_virus_62,shap,0.3258
person28_virus_63,gradcam,0.0988
person28_virus_63,shap,0.1784
person29_virus_64,gradcam,0.0061
person29_virus_64,shap,0.1724
person30_virus_69,gradcam,0.2511
person30_virus_69,shap,0.301
person31_virus_70,gradcam,0.1302
person31_virus_70,shap,0.2235
person32_virus_71,gradcam,0.1512
person32_virus_71,shap,0.2381
person33_virus_72,gradcam,0.0344
person33_virus_72,shap,0.1899
person34_virus_76,gradcam,0.1855
person34_virus_76,shap,0.3068
person35_virus_80,gradcam,0.1277
person35_virus_80,shap,0.1742
person36_virus_81,gradcam,0.0565
person36_virus_81,shap,0.0766
person37_virus_82,gradcam,0.2564
person37_virus_82,shap,0.3013
person38_virus_83,gradcam,0.1102
person38_virus_83,shap,0.1633
person38_virus_84,gradcam,0.085
person38_virus_84,shap,0.1942
person39_virus_85,gradcam,0.1454
person39_virus_85,shap,0.2408
person3_virus_15,gradcam,0.2065
person3_virus_15,shap,0.4008
person3_virus_16,gradcam,0.1462
person3_virus_16,shap,0.2038
person3_virus_17,gradcam,0.15
person3_virus_17,shap,0.2734
person40_virus_87,gradcam,0.2428
person40_virus_87,shap,0.2501
person41_virus_88,gradcam,0.1378
person41_virus_88,shap,0.3074
person42_virus_89,gradcam,0.1067
person42_virus_89,shap,0.168
person43_virus_92,gradcam,0.1323
person43_virus_92,shap,0.2442
person44_virus_93,gradcam,0.1847
person44_virus_93,shap,0.2802
person44_virus_94,gradcam,0.2227
person44_virus_94,shap,0.2136
person45_virus_95,gradcam,0.0334
person45_virus_95,shap,0.1396
person46_virus_96,gradcam,0.2155
person46_virus_96,shap,0.3008
person47_virus_99,gradcam,0.1195
person47_virus_99,shap,0.2755
person48_virus_100,gradcam,0.2078
person48_virus_100,shap,0.2783
person49_virus_101,gradcam,0.1492
person49_virus_101,shap,0.2049
person50_virus_102,gradcam,0.119
person50_virus_102,shap,0.2858
person51_virus_105,gradcam,0.1041
person51_virus_105,shap,0.2279
person52_virus_106,gradcam,0.1095
person52_virus_106,shap,0.2065
person53_virus_107,gradcam,0.0678
person53_virus_107,shap,0.2028
person53_virus_108,gradcam,0.1022
person53_virus_108,shap,0.2213
person54_virus_109,gradcam,0.0897
person54_virus_109,shap,0.1544
person55_virus_110,gradcam,0.1557
person55_virus_110,shap,0.2804
person56_virus_112,gradcam,0.0291
person56_virus_112,shap,0.1602
person57_virus_113,gradcam,0.1247
person57_virus_113,shap,0.2285
person59_virus_116,gradcam,0.0164
person59_virus_116,shap,0.1839
person60_virus_117,gradcam,0.1239
person60_virus_117,shap,0.2397
person61_virus_118,gradcam,0.2496
person61_virus_118,shap,0.2177
person62_virus_119,gradcam,0.0387
person62_virus_119,shap,0.2029
person63_virus_121,gradcam,0.2124
person63_virus_121,shap,0.2662
person64_virus_122,gradcam,0.0952
person64_virus_122,shap,0.0921
person65_virus_123,gradcam,0.0977
person65_virus_123,shap,0.2239
person66_virus_125,gradcam,0.1485
person66_virus_125,shap,0.2607
person67_virus_126,gradcam,0.1585
person67_virus_126,shap,0.2795
person69_virus_129,gradcam,0.0373
person69_virus_129,shap,0.1741
person70_virus_130,gradcam,0.044
person70_virus_130,shap,0.1503
person71_virus_131,gradcam,0.111
person71_virus_131,shap,0.2463
person71_virus_132,gradcam,0.102
person71_virus_132,shap,0.1578
person72_virus_133,gradcam,0.1638
person72_virus_133,shap,0.1673
person74_virus_135,gradcam,0.0687
person74_virus_135,shap,0.2227
person75_virus_136,gradcam,0.1356
person75_virus_136,shap,0.2162
person76_virus_138,gradcam,0.0536
person76_virus_138,shap,0.1658
person77_virus_139,gradcam,0.0173
person77_virus_139,shap,0.2575
person78_bacteria_378,gradcam,0.1287
person78_bacteria_378,shap,0.2758
person78_bacteria_380,gradcam,0.1767
person78_bacteria_380,shap,0.2554
person78_bacteria_381,gradcam,0.1409
person78_bacteria_381,shap,0.2926
person78_bacteria_382,gradcam,0.1414
person78_bacteria_382,shap,0.2744
person78_bacteria_384,gradcam,0.1142
person78_bacteria_384,shap,0.2473
person78_bacteria_385,gradcam,0.2171
person78_bacteria_385,shap,0.3593
person78_bacteria_386,gradcam,0.1032
person78_bacteria_386,shap,0.2761
person78_bacteria_387,gradcam,0.1029
person78_bacteria_387,shap,0.1938
person78_virus_140,gradcam,0.1831
person78_virus_140,shap,0.2712
person79_virus_148,gradcam,0.1683
person79_virus_148,shap,0.2384
person80_bacteria_389,gradcam,0.1081
person80_bacteria_389,shap,0.2039
person80_bacteria_390,gradcam,0.1342
person80_bacteria_390,shap,0.2536
person80_bacteria_391,gradcam,0.1084
person80_bacteria_391,shap,0.3139
person80_bacteria_392,gradcam,0.1109
person80_bacteria_392,shap,0.3189
person80_bacteria_393,gradcam,0.0341
person80_bacteria_393,shap,0.1682
person81_bacteria_395,gradcam,0.03
person81_bacteria_395,shap,0.192
person81_bacteria_396,gradcam,0.057
person81_bacteria_396,shap,0.1855
person81_bacteria_397,gradcam,0.0749
person81_bacteria_397,shap,0.2044
person81_bacteria_398,gradcam,0.1008
person81_bacteria_398,shap,0.2101
person82_bacteria_402,gradcam,0.1052
person82_bacteria_402,shap,0.2626
person82_bacteria_403,gradcam,0.0601
person82_bacteria_403,shap,0.1576
person82_bacteria_404,gradcam,0.2031
person82_bacteria_404,shap,0.2861
person82_bacteria_405,gradcam,0.2047
person82_bacteria_405,shap,0.2916
person83_bacteria_407,gradcam,0.1271
person83_bacteria_407,shap,0.3691
person83_bacteria_409,gradcam,0.0458
person83_bacteria_409,shap,0.2774
person83_bacteria_410,gradcam,0.1179
person83_bacteria_410,shap,0.163
person83_bacteria_411,gradcam,0.1845
person83_bacteria_411,shap,0.3033
person83_bacteria_412,gradcam,0.0728
person83_bacteria_412,shap,0.1339
person83_bacteria_414,gradcam,0.1918
person83_bacteria_414,shap,0.3034
person85_bacteria_417,gradcam,0.0996
person85_bacteria_417,shap,0.2705
person85_bacteria_419,gradcam,0.1401
person85_bacteria_419,shap,0.2491
person85_bacteria_421,gradcam,0.1024
person85_bacteria_421,shap,0.2901
person85_bacteria_422,gradcam,0.0365
person85_bacteria_422,shap,0.1672
person85_bacteria_423,gradcam,0.1046
person85_bacteria_423,shap,0.249
person85_bacteria_424,gradcam,0.0943
person85_bacteria_424,shap,0.2667
person86_bacteria_428,gradcam,0.061
person86_bacteria_428,shap,0.1781
person86_bacteria_429,gradcam,0.1642
person86_bacteria_429,shap,0.318
person87_bacteria_433,gradcam,0.0685
person87_bacteria_433,shap,0.1657
person87_bacteria_434,gradcam,0.19
person87_bacteria_434,shap,0.24
person88_bacteria_437,gradcam,0.1226
person88_bacteria_437,shap,0.1961
person88_bacteria_438,gradcam,0.045
person88_bacteria_438,shap,0.1225
person88_bacteria_439,gradcam,0.0505
person88_bacteria_439,shap,0.2099
person89_bacteria_440,gradcam,0.1644
person89_bacteria_440,shap,0.1839
person8_virus_27,gradcam,0.1027
person8_virus_27,shap,0.2579
person8_virus_28,gradcam,0.0719
person8_virus_28,shap,0.2451
person90_bacteria_442,gradcam,0.0878
person90_bacteria_442,shap,0.2021
person90_bacteria_443,gradcam,0.1329
person90_bacteria_443,shap,0.2758
person91_bacteria_445,gradcam,0.1364
person91_bacteria_445,shap,0.2279
person91_bacteria_446,gradcam,0.1424
person91_bacteria_446,shap,0.182
person91_bacteria_447,gradcam,0.1806
person91_bacteria_447,shap,0.3576
person91_bacteria_448,gradcam,0.0661
person91_bacteria_448,shap,0.1907
person91_bacteria_449,gradcam,0.1361
person91_bacteria_449,shap,0.2958
person92_bacteria_450,gradcam,0.2117
person92_bacteria_450,shap,0.3972
person92_bacteria_451,gradcam,0.1423
person92_bacteria_451,shap,0.2516
person93_bacteria_453,gradcam,0.1322
person93_bacteria_453,shap,0.2199
person93_bacteria_454,gradcam,0.0805
person93_bacteria_454,shap,0.2714
person94_bacteria_456,gradcam,0.0165
person94_bacteria_456,shap,0.163
person94_bacteria_457,gradcam,0.08
person94_bacteria_457,shap,0.2222
person94_bacteria_458,gradcam,0.0673
person94_bacteria_458,shap,0.1699
person95_bacteria_463,gradcam,0.1627
person95_bacteria_463,shap,0.2524
person96_bacteria_464,gradcam,0.1631
person96_bacteria_464,shap,0.2928
person96_bacteria_465,gradcam,0.0983
person96_bacteria_465,shap,0.1392
person96_bacteria_466,gradcam,0.0527
person96_bacteria_466,shap,0.1808
person97_bacteria_468,gradcam,0.1177
person97_bacteria_468,shap,0.304
person99_bacteria_473,gradcam,0.1711
person99_bacteria_473,shap,0.343
person99_bacteria_474,gradcam,0.1856
person99_bacteria_474,shap,0.3582
